time,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi
20.70500000000232,720.5809803889507,588.3021640684931,2.8945446398396553,0.40552885401815886,0.40552885401815886,1.2165865620544767
20.706000000002323,720.6502628593869,588.3620590568713,2.895245648326437,0.405944748199509,0.405944748199509,1.217834244598527
20.707000000002324,720.7195490196277,588.4219555244418,2.895944447883575,0.40636000133869055,0.40636000133869055,1.2190800040160716
20.708000000002325,720.7888388665111,588.4818534750145,2.8966410367868516,0.4067746127799645,0.4067746127799645,1.2203238383398936
20.709000000002327,720.8581323968859,588.5417529123915,2.897335413317502,0.40718858186860163,0.40718858186860163,1.2215657456058049
20.710000000002328,720.9274296076122,588.6016538403672,2.898027575762225,0.4076019079508882,0.4076019079508882,1.2228057238526648
20.71100000000233,720.9967304955615,588.6615562627285,2.898717522413172,0.40801459037412596,0.40801459037412596,1.224043771122378
20.71200000000233,721.0660350576161,588.7214601832547,2.8994052515679707,0.40842662848663297,0.40842662848663297,1.225279885459899
20.71300000000233,721.1353432906698,588.7813656057186,2.900090761529719,0.40883802163774485,0.40883802163774485,1.2265140649132347
20.714000000002333,721.2046551916275,588.8412725338859,2.900774050606988,0.4092487691778145,0.4092487691778145,1.2277463075334436
20.715000000002334,721.273970757406,588.9011809715156,2.901455117113831,0.4096588704582178,0.4096588704582178,1.2289766113746534
20.716000000002335,721.3432899849336,588.9610909223596,2.9021339593697864,0.4100683248313477,0.4100683248313477,1.2302049744940433
20.717000000002336,721.41261287115,589.0210023901631,2.9028105756998723,0.41047713165061994,0.41047713165061994,1.2314313949518598
20.718000000002338,721.4819394311237,589.0809153863964,2.9034849644346084,0.41088529027047255,0.41088529027047255,1.2326558708114177
20.71900000000234,721.551269697867,589.1408299302337,2.9041571239100077,0.41129280004636753,0.41129280004636753,1.2338784001391028
20.72000000000234,721.6206036862036,589.2007460331222,2.904827052467583,0.4116996603347912,0.4116996603347912,1.2350989810043738
20.72100000000234,721.6899413928448,589.2606636987578,2.905494748454353,0.41210587049325464,0.41210587049325464,1.236317611479764
20.722000000002343,721.7592828144053,589.3205829307818,2.906160210222847,0.4125114298802987,0.4125114298802987,1.237534289640896
20.723000000002344,721.8286279475117,589.3805037328283,2.9068234361310976,0.41291633785548865,0.41291633785548865,1.238749013566466
20.724000000002345,721.8979767888036,589.4404261085234,2.9074844245426643,0.4133205937794196,0.4133205937794196,1.2399617813382589
20.725000000002346,721.9673293349334,589.5003500614865,2.9081431738266237,0.41372419701371616,0.41372419701371616,1.2411725910411486
20.726000000002347,722.0366855825662,589.56027559533,2.9087996823575777,0.4141271469210338,0.4141271469210338,1.2423814407631015
20.72700000000235,722.1060455283794,589.6202027136594,2.9094539485156563,0.4145294428650596,0.4145294428650596,1.2435883285951788
20.72800000000235,722.1754091690634,589.6801314200735,2.9101059706865233,0.4149310842105122,0.4149310842105122,1.2447932526315368
20.72900000000235,722.2447765013211,589.7400617181643,2.9107557472613816,0.41533207032314745,0.41533207032314745,1.2459962109694425
